Id	CAS	SMILES	Status	Experimental value [log(1/(mmol/L))]	Predicted value [log(1/(mmol/L))]
1	000110-54-3	C(CCCC)C	Training	1.539	1.888746
2	000111-65-9	C(CCCCCC)C	Training	2.435	1.888746
3	000109-69-3	ClCCCC	Test	-0.02	1.07963
4	000111-85-3	ClCCCCCCCC	Training	2.38	2.269872
5	000075-09-2	ClCCl	Training	-0.565	0.220406
6	000075-34-3	C(Cl)(Cl)C	Test	-0.31	0.329673
7	000107-06-2	ClCCCl	Training	0.154	0.39679
8	000142-28-9	ClCCCCl	Test	0.083	1.467923
9	000078-87-5	ClCC(Cl)C	Training	-0.074	0.39679
10	000110-56-5	ClCCCCCl	Training	0.39	0.756516
11	000628-76-2	ClCCCCCCl	Test	0.748	0.756516
12	000067-66-3	C(Cl)(Cl)Cl	Test	0.343	0.220406
13	000071-55-6	C(Cl)(Cl)(Cl)C	Training	0.278	0.211757
14	000079-00-5	ClCC(Cl)Cl	Test	0.196	0.623332
15	000096-18-4	ClCC(Cl)CCl	Training	0.46	0.562438
16	000056-23-5	C(Cl)(Cl)(Cl)Cl	Test	0.835	0.220406
17	000079-34-5	C(C(Cl)Cl)(Cl)Cl	Training	0.844	0.831607
18	000076-01-7	C(C(Cl)Cl)(Cl)(Cl)Cl	Training	1.345	1.838896
19	000067-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	2.282	1.838896
20	000106-94-5	BrCCC	Training	0.261	-0.206666
21	000109-65-9	BrCCCC	Training	0.571	0.472965
22	000111-25-1	BrCCCCCC	Training	1.68	1.545898
23	000629-04-9	BrCCCCCCC	Training	2.088	1.30747
24	000111-83-1	BrCCCCCCCC	Test	2.362	2.484377
25	000109-64-8	BrCCCBr	Training	1.683	1.789508
26	000075-47-8	C(I)(I)I	Training	2.13	2.422108
27	000076-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	0.994	2.735648
28	000075-27-4	BrC(Cl)Cl	Training	0.767	0.220406
29	000124-48-1	BrC(Br)Cl	Test	0.421	0.220406
30	000096-12-8	BrCC(Br)CCl	Training	0.782	0.934023
31	000110-82-7	C(CCCC1)C1	Test	1.27	1.888746
32	000108-87-2	C(CCCC1)(C1)C	Training	1.67	1.888746
33	001678-91-7	CCC1CCCCC1	Test	2.175	1.888746
34	000099-82-1	C(CCC(C1)C(C)C)(C1)C	Test	2.868	1.888746
35	000091-17-8	C(C(CCC1)CCC2)(C1)C2	Training	2.572	2.536389
36	000281-23-2	C(CC(CC1CC23)C2)(C1)C3	Training	2.687	2.53851
37	000822-86-6	ClC1C(Cl)CCCC1	Training	0.92	0.756516
38	000112-41-4	C(=C)CCCCCCCCCC	Test	1.811	2.537458
39	000075-35-4	C(=C)(Cl)Cl	Training	0.333	0.329673
40	000156-59-2	C(=CCl)Cl	Test	0.16	1.467923
41	000079-01-6	C(=CCl)(Cl)Cl	Training	0.483	0.623332
42	000127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	1.146	0.831607
43	000110-83-8	C(=CCCC1)C1	Training	1.151	1.283446
44	000498-66-8	C1C2C=CC1CC2	Test	0.974	1.839447
45	000078-79-5	C(C=C)(=C)C	Test	0.657	1.152123
46	000592-46-1	CC=CC=CC	Training	0.61	1.152123
47	000513-81-5	C(C(=C)C)(=C)C	Training	1.078	1.152123
48	000764-13-6	C(=CC=C(C)C)(C)C	Training	1.546	1.152123
49	001647-16-1	C(=C)CCCCCCC=C	Test	2.679	1.283446
50	000100-40-3	C(=CCCC1C=C)C1	Training	1.371	1.283446
51	000111-78-4	C(=CCCC=CC1)C1	Test	0.92	1.283446
52	003048-65-5	C(C(C=C1)CC=C2)(C2)C1	Test	1.436	1.60052
53	000138-86-3	C(=CCC(C(=C)C)C1)(C1)C	Training	2.093	1.60052
54	016219-75-3	C(C(C=CC12)C1)(=CC)C2	Training	1.235	1.60052
55	000123-35-3	C(C=C)(=C)CCC=C(C)C	Test	2.17	1.152123
56	000542-75-6	C(=CCl)CCl	Training	1.869	1.467923
57	000760-23-6	C(C(Cl)CCl)=C	Training	0.917	0.39679
58	001871-57-4	C=C(CCl)CCl	Test	2.819	0.39679
59	000087-68-3	C(=C(C(=C(Cl)Cl)Cl)Cl)(Cl)Cl	Test	3.461	4.079119
60	000077-47-4	C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl	Training	4.29	4.079119
61	000067-56-1	OC	Test	-2.898	-1.252603
62	000064-17-5	OCC	Test	-2.542	-1.306331
63	000071-23-8	OCCC	Test	-1.88	-0.206666
64	000067-63-0	OC(C)C	Test	-2.16	-1.306331
65	000071-36-3	OCCCC	Test	-1.365	0.117654
66	000078-92-2	OC(CC)C	Training	-1.69	-1.306331
67	000075-65-0	OC(C)(C)C	Training	-1.809	-1.306331
68	000078-83-1	OCC(C)C	Training	-1.275	-1.306331
69	000584-02-1	OC(CC)CC	Training	-1.05	-0.089341
70	000071-41-0	OCCCCC	Test	-0.73	0.117654
71	000111-27-3	OCCCCCC	Test	0.02	0.117654
72	000077-74-7	OC(CC)(CC)C	Training	-0.819	-1.306331
73	000600-36-2	OC(C(C)C)C(C)C	Test	-0.149	-1.306331
74	000111-70-6	OCCCCCCC	Training	0.669	1.30747
75	000111-87-5	OCCCCCCCC	Test	0.938	1.685126
76	000104-76-7	OCC(CCCC)CC	Training	0.662	0.117654
77	000143-08-8	OCCCCCCCCC	Training	1.484	1.685126
78	003452-97-9	OCCC(CC(C)(C)C)C	Training	0.712	-0.089341
79	000112-30-1	OCCCCCCCCCC	Test	1.747	2.195319
80	025339-17-7	OCCCCCCCC(C)C	Test	1.429	1.888804
81	000112-42-5	OCCCCCCCCCCC	Training	2.21	2.195319
82	000112-53-8	OCCCCCCCCCCCC	Test	2.26	2.195319
83	000112-70-9	OCCCCCCCCCCCCC	Training	2.071	2.655507
84	000075-89-8	FC(F)(F)CO	Training	-0.078	-0.332199
85	029553-26-2	FC(F)C(F)(F)C(O)(C)C	Training	-0.56	-0.332199
86	000920-66-1	FC(F)(F)C(O)C(F)(F)F	Test	-0.161	-0.332199
87	000107-07-3	OCCCl	Test	0.192	0.345571
88	000127-00-4	OC(CCl)C	Test	-0.412	0.345571
89	000115-20-8	OCC(Cl)(Cl)Cl	Test	-0.268	0.211757
90	006001-64-5	CC(C)(O)C(Cl)(Cl)Cl	Training	0.119	0.211757
91	000096-13-9	OCC(Br)CBr	Training	0.489	0.58814
92	000108-93-0	OC(CCCC1)C1	Training	-0.849	-0.11614
93	002216-51-5	OC(C(CCC1C)C(C)C)C1	Test	0.917	0.311614
94	000497-37-0	C1(O)CC2CC1CC2	Training	-0.308	0.369016
95	000464-45-9	OC(CC1C2)C(C2)(C1(C)C)C	Training	0.388	0.369016
96	000928-96-1	OCCC=CCC	Training	-0.51	0.420101
97	000107-18-6	OCC=C	Training	2.125	1.6376
98	006117-91-5	OCC=CC	Training	1.256	0.661948
99	000556-82-1	OCC=C(C)C	Training	0.263	0.152046
100	004798-44-1	OC(C=C)CCC	Training	0.519	0.661948
101	000924-41-4	OC(CC=C)C=C	Training	0.41	0.661948
102	000078-70-6	OC(C=C)(CCC=C(C)C)C	Test	0.597	-0.487609
103	007212-44-4	OC(C=C)(CCC=C(CCC=C(C)C)C)C	Training	2.192	1.903857
104	000596-85-0	CC(O)(CCC1C(=C)CCC2C(C)(C)CCCC12C)C=C	Training	3.384	3.239755
105	000927-74-2	OCCC#C	Test	0.289	0.798427
106	002117-11-5	OC(C)CC#C	Training	0.38	0.410953
107	076334-36-6	BrC(=C)CCO	Test	0.551	0.152046
108	000107-19-7	OCC#C	Test	1.57	0.410953
109	000764-01-2	CC#CCO	Training	0.84	0.798427
110	065337-13-5	CC(O)C#C	Training	0.779	-0.421992
111	000115-19-5	OC(C#C)(C)C	Training	-1.591	-0.421992
112	000077-75-8	OC(C#C)(CC)C	Test	-1.092	-0.421992
113	007383-19-9	OC(C#C)CCCC	Training	1.802	1.039543
114	001482-15-1	OC(C#C)(C)C(C)C	Training	-0.261	-0.421992
115	000818-72-4	OC(C#C)CCCCC	Test	2.488	1.039543
116	019549-98-5	CC(C)CCC(C)(O)C#C	Training	0.459	1.039543
117	004117-14-0	OCC#CCCCCCCC	Training	2.159	1.764543
118	000078-27-3	OC(C#C)(CCCC1)C1	Training	-0.312	-0.170292
119	000110-65-6	OCC#CCO	Training	0.208	0.351543
120	000109-86-4	O(CCO)C	Training	-2.36	-0.878443
121	000110-80-5	O(CCO)CC	Training	-2.26	-2.004667
122	000107-98-2	O(CC(O)C)C	Test	-2.363	-2.436769
123	000111-76-2	O(CCCC)CCO	Test	-0.92	0.850792
124	000109-59-1	O(C(C)C)CCO	Test	-1.72	-0.587086
125	000111-90-0	O(CCOCC)CCO	Training	-2.199	-1.883126
126	000112-34-5	O(CCOCCO)CCCC	Test	-0.85	-1.883126
127	000107-21-1	OCCO	Training	-2.9	-2.436769
128	000057-55-6	OCC(O)C	Test	-2.162	-1.075953
129	000107-41-5	OC(CC(O)(C)C)C	Training	-1.934	-1.075953
130	000080-04-6	OC(CCC(C(C(CCC(O)C1)C1)(C)C)C2)C2	Training	1.102	1.22646
131	000111-46-6	O(CCO)CCO	Test	-2.805	-2.427933
132	000112-27-6	O(CCOCCO)CCO	Test	-2.655	-1.883126
133	000060-29-7	O(CC)CC	Test	-1.5	-0.398875
134	001634-04-4	O(C(C)(C)C)C	Training	-0.896	-1.075953
135	000108-20-3	O(C(C)C)C(C)C	Training	-0.122	-1.075953
136	000142-96-1	O(CCCC)CCCC	Training	0.605	1.040777
137	000544-01-4	O(CCC(C)C)CCC(C)C	Training	1.367	0.8385
138	000693-65-2	O(CCCCC)CCCCC	Test	1.693	1.040777
139	000127-90-2	C(Cl)(Cl)(Cl)C(Cl)COCC(Cl)C(Cl)(Cl)Cl	Training	2.806	2.838657
140	003295-94-1	CCCCCCOCC=C	Training	1.463	1.040777
141	000109-99-9	O(CCC1)C1	Training	-1.479	-1.321615
142	015045-43-9	O1C(C)(C)CCC1(C)C	Test	-0.119	-1.321615
143	000470-82-6	C1CC2C(C)(C)OC1(C)CC2	Training	0.18	0.311614
144	000100-79-8	O(CC(O1)CO)C1(C)C	Training	-2.1	-1.606832
145	003984-22-3	O(CC1)C(O1)C=C	Training	0.188	-0.497553
146	034723-82-5	BrCC1CCCCO1	Training	-0.06	-0.132845
147	000123-91-1	O(CCOC1)C1	Test	-2.058	-1.606832
148	000110-88-3	O(COCO1)C1	Test	-1.82	-0.878443
149	000075-07-0	O=CC	Training	0.138	-0.461224
150	000123-72-8	O=CCCC	Test	0.672	0.661948
151	000110-62-3	O=CCCCC	Test	0.826	0.420101
152	000096-17-3	O=CC(CC)C	Test	0.938	0.152046
153	000590-86-3	O=CCC(C)C	Training	1.422	0.152046
154	000123-15-9	O=CC(CCC)C	Training	0.729	0.152046
155	000066-25-1	O=CCCCCC	Training	0.808	0.420101
156	003944-76-1	CCC(C)C(C)C(=O)	Test	0.852	0.152046
157	003268-49-3	O=CCCSC	Training	1.173	1.16319
158	000107-02-8	O=CC=C	Test	3.448	2.554035
159	004170-30-3	O=CC=CC	Training	2.988	2.554035
160	000111-30-8	O=CCCCC=O	Training	1.056	1.153948
161	000067-64-1	O=C(C)C	Training	-2.226	-1.611889
162	000078-93-3	O=C(CC)C	Test	-1.65	-0.450497
163	000563-80-4	O=C(C(C)C)C	Test	-1.01	-0.450497
164	000096-22-0	O=C(CC)CC	Test	-1.256	0.152046
165	000107-87-9	O=C(CCC)C	Training	-1.159	0.152046
166	000108-10-1	O=C(CC(C)C)C	Test	-0.718	0.152046
167	000591-78-6	O=C(CCCC)C	Training	-0.63	-0.487609
168	000075-97-8	O=C(C(C)(C)C)C	Training	0.06	-1.611889
169	000111-13-7	O=C(CCCCCC)C	Test	0.551	0.431631
170	000110-43-0	O=C(CCCCC)C	Test	-0.06	-0.487609
171	000110-12-3	O=C(CCC(C)C)C	Test	-0.142	-0.487609
172	000502-56-7	O=C(CCCC)CCCC	Training	0.661	0.420101
173	000821-55-6	O=C(CCCCCCC)C	Test	0.97	1.694962
174	000693-54-9	O=C(CCCCCCCC)C	Training	1.434	1.694962
175	000112-12-9	O=C(CCCCCCCCC)C	Training	1.904	1.694962
176	006175-49-1	O=C(CCCCCCCCCC)C	Test	2.192	2.577352
177	000593-08-8	O=C(CCCCCCCCCCC)C	Training	2.74	2.577352
178	000108-94-1	O=C(CCCC1)C1	Training	-0.765	-0.059994
179	000464-48-2	O=C(CC1C2)C(C2)(C1(C)C)C	Test	0.952	-0.059994
180	010293-06-8	O=C(C(C(C1C2)(C)C)(C2)C)C1Br	Training	0.528	-0.059994
181	000700-58-3	C13CC2CC(CC(C1=O)C2)C3	Test	0.393	-0.059994
182	000110-93-0	O=C(CCC=C(C)C)C	Training	0.165	0.206145
183	001502-22-3	O=C(C(C(=CCCC1)C1)CCC2)C2	Test	0.789	0.56963
184	001335-46-2	O=C(C=CC1C(=C(CCC1(C)C)C)C)C	Test	1.837	1.548281
185	000079-77-6	O=C(C=CC(=C(CCC1)C)C1(C)C)C	Training	1.577	1.548281
186	000123-54-6	O=C(CC(=O)C)C	Training	-0.171	-0.181922
187	001540-36-9	O=C(C)C(C(=O)C)CCCC	Training	-0.128	0.063725
188	000126-81-8	O=C(CC(CC1(=O))(C)C)C1	Training	-1.91	-1.595875
189	000079-20-9	O=C(OC)C	Training	-0.638	-1.21953
190	000141-78-6	O=C(OCC)C	Test	-0.579	1.632097
191	000109-60-4	O=C(OCCC)C	Test	0.23	1.986244
192	000123-86-4	O=C(OCCCC)C	Test	0.81	1.394709
193	000110-19-0	O=C(OCC(C)C)C	Test	0.835	1.065533
194	000540-88-5	O=C(OC(C)(C)C)C	Test	-0.45	-0.253563
195	000123-66-0	O=C(OCC)CCCCC	Training	1.21	1.153948
196	000142-92-7	O=C(OCCCCCC)C	Test	1.518	-0.102167
197	000515-84-4	O=C(OCC)C(Cl)(Cl)Cl	Test	0.639	2.735648
198	000111-15-9	O=C(OCCOCC)C	Training	0.499	0.657096
199	000706-14-9	O=C(OC(C1)CCCCCC)C1	Test	0.978	1.694976
200	000105-53-4	O=C(OCC)CC(=O)OCC	Training	0.818	0.853733
201	000141-28-6	O=C(OCC)CCCCC(=O)OCC	Training	1.05	0.99814
202	000141-03-7	O=C(OCCCC)CCC(=O)OCCCC	Training	1.712	2.231447
203	000105-99-7	O=C(OCCCC)CCCCC(=O)OCCCC	Test	1.851	2.231447
204	000110-40-7	O=C(OCC)CCCCCCCCC(=O)OCC	Training	1.976	2.231447
205	014064-10-9	O=C(OCC)C(C(=O)OCC)Cl	Test	2.311	0.853733
206	000095-08-9	O=C(OCCOCCOCCOC(=O)C(CC)CC)C(CC)CC	Training	1.567	1.41947
207	000108-05-4	O=C(OC=C)C	Training	1.555	1.632097
208	000096-33-3	O=C(OC)C=C	Training	1.789	1.632097
209	000140-88-5	O=C(OCC)C=C	Training	1.921	1.986244
210	000080-62-6	O=C(OC)C(=C)C	Training	-0.448	-0.253563
211	004655-34-9	O=C(OC(C)C)C(=C)C	Test	0.528	1.065533
212	000096-05-9	O=C(OCC=C)C(=C)C	Training	2.108	1.986244
213	000141-32-2	O=C(OCCCC)C=C	Training	1.728	1.650936
214	000106-63-8	O=C(OCC(C)C)C=C	Test	1.789	1.394709
215	000097-88-1	O=C(OCCCC)C(=C)C	Training	1.405	1.394709
216	002499-95-8	O=C(OCCCCCC)C=C	Training	2.15	1.053882
217	000688-84-6	O=C(OCC(CCCC)CC)C(=C)C	Training	1.85	1.770515
218	000352-87-4	O=C(OCC(F)(F)F)C(=C)C	Training	1.307	1.20645
219	003066-71-5	O=C(OC(CCCC1)C1)C=C	Training	2.019	1.694976
220	000818-61-1	O=C(OCCO)C=C	Training	1.316	1.44449
221	000868-77-9	O=C(OCCO)C(=C)C	Test	-0.242	1.44449
222	000999-61-1	O=C(OCC(O)C)C=C	Training	1.58	1.44449
223	002370-63-0	O=C(OCCOCC)C(=C)C	Training	0.757	0.657096
224	000105-75-9	O=C(OCCCC)C=CC(=O)OCCCC	Test	2.686	2.231447
225	013048-33-4	O=C(OCCCCCCOC(=O)C=C)C=C	Training	2.775	2.231447
226	002867-47-2	O=C(OCCN(C)C)C(=C)C	Test	0.918	0.291092
227	002439-35-2	O=C(OCCN(C)C)C=C	Test	1.226	0.291092
228	002455-24-5	O=C(OCC(OCC1)C1)C(=C)C	Training	0.691	1.234622
229	003006-82-4	O=C(OOC(C)(C)C)C(CCCC)CC	Training	1.672	1.903857
230	000137-40-6	CCC(=O)O	Test	-1.698	0.087864
231	000142-62-1	O=C(O)CCCCC	Test	-0.44	1.650936
232	000088-09-5	O=C(O)C(CC)CC	Test	0.136	0.087864
233	000111-14-8	O=C(O)CCCCCC	Training	0.239	0.431631
234	000112-05-0	O=C(O)CCCCCCCC	Training	0.182	1.053882
235	000143-07-7	O=C(O)CCCCCCCCCCC	Test	1.603	2.577352
236	000144-62-7	O=C(O)C(=O)O	Test	0.523	-0.008138
237	000124-04-9	O=C(O)CCCCC(=O)O	Training	0.178	0.310726
238	000079-10-7	O=C(O)C=C	Training	0.065	0.090828
239	005536-61-8	OC(=O)C(=C)C	Test	0.115	0.090828
240	000110-44-1	O=C(O)C=CC=CC	Training	0.175	0.326342
241	000079-11-8	O=C(O)CCl	Test	0.118	-0.007295
242	000079-14-1	O=C(O)CO	Training	-0.011	-0.008138
243	000298-12-4	O=CC(=O)O	Test	0.257	-0.008138
244	000060-00-4	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O	Training	0.597	0.68939
245	000075-04-7	NCC	Test	-0.7	-1.306331
246	000107-10-8	NCCC	Training	-0.719	-0.217795
247	000109-73-9	NCCCC	Test	-0.562	0.117654
248	033966-50-6	CCC(N)C	Training	-0.575	-0.217795
249	005813-64-9	CC(C)(C)CN	Training	-0.738	-0.217795
250	000110-58-7	NCCCCC	Training	-0.309	0.117654
251	000598-74-3	NC(C)C(C)C	Training	-0.512	-0.217795
252	000111-26-2	NCCCCCC	Test	0.251	0.117654
253	015673-00-4	CC(C)(C)CCN	Test	-0.78	-0.217795
254	000111-68-2	NCCCCCCC	Test	0.722	1.30747
255	000107-45-9	NC(CC(C)(C)C)(C)C	Training	0.72	-0.217795
256	000111-86-4	NCCCCCCCC	Training	1.398	1.411719
257	000693-16-3	NC(CCCCCC)C	Training	1.402	1.411719
258	000112-20-9	NCCCCCCCCC	Training	1.821	1.685126
259	002016-57-1	NCCCCCCCCCC	Test	2.182	1.685126
260	007307-55-3	CCCCCCCCCCCN	Test	2.911	2.195319
261	000124-22-1	NCCCCCCCCCCCC	Test	3.263	2.655507
262	002869-34-3	NCCCCCCCCCCCCC	Training	3.472	2.655507
263	000108-91-8	NC(CCCC1)C1	Training	0.478	-0.11614
264	006864-37-5	NC(C(CC(C1)CC(CCC(N)C2C)C2)C)C1	Test	1.035	1.22646
265	000080-52-4	NC(C(CCC(N)(C1)C)C1)(C)C	Training	0.416	0.311614
266	000768-94-5	C(N)(CC(CC1CC23)C2)(C1)C3	Training	0.781	0.369016
267	000109-85-3	O(CCN)C	Test	-0.842	-0.878443
268	000109-89-7	N(CC)CC	Training	-0.346	-0.398875
269	000143-16-8	N(CCCCCC)CCCCCC	Training	2.376	2.655507
270	052829-07-9	O=C(OC(CC(NC1(C)C)(C)C)C1)CCCCCCCCC(=O)OC(CC(NC2(C)C)(C)C)C2	Training	1.958	2.294957
271	000101-83-7	N(C(CCCC1)C1)C(CCCC2)C2	Training	1.179	1.151215
272	000141-91-3	O(C(CNC1)C)C1C	Test	-0.526	-1.185933
273	000121-44-8	N(CC)(CC)CC	Test	0.625	-0.398875
274	000102-69-2	N(CCC)(CCC)CCC	Training	0.449	0.8385
275	000124-28-7	N(CCCCCCCCCCCCCCCCCC)(C)C	Test	3.576	2.655507
276	000091-65-6	N(C(CCCC1)C1)(CC)CC	Training	0.861	0.654099
277	007250-67-1	N1(CCCl)CCCC1	Test	0.046	-0.132845
278	006921-29-5	C#CCN(CC#C)CC#C	Test	-0.352	2.190648
279	006948-86-3	CCOC(CN(C)CC(OCC)OCC)OCC	Training	-0.382	-0.077331
280	000105-14-6	CCN(CC)CCCC(C)=O	Test	-0.33	0.431631
281	022104-62-7	O=C(C(C)CN(C)C)C	Training	1.182	1.065533
282	005407-04-5	ClCCCN(C)C	Training	0.075	0.240851
283	000057-09-0	CCCCCCCCCCCCCCCCN(Br)(C)(C)C	Training	3.114	3.024136
284	000141-43-5	OCCN	Test	-1.193	-2.436769
285	000078-96-6	OC(CN)C	Training	-1.523	-1.075953
286	000110-73-6	OCCNCC	Test	1.22	-2.004667
287	000111-42-2	OCCNCCO	Training	-2.65	-2.427933
288	000102-81-8	OCCN(CCCC)CCCC	Training	0.776	0.850792
289	000100-37-8	OCCN(CC)CC	Training	-1.181	-0.587086
290	000096-80-0	OCCN(C(C)C)C(C)C	Training	-0.141	-0.587086
291	000102-71-6	OCCN(CCO)CCO	Training	-1.898	-1.656827
292	000622-40-2	O(CCN(C1)CCO)C1	Training	-1.318	-1.606832
293	000107-15-3	NCCN	Training	-0.564	-0.206666
294	000109-76-2	NCCCN	Test	-1.21	0.117654
295	000078-90-0	NCC(N)C	Test	-1.132	-1.306331
296	000124-09-4	NCCCCCCN	Test	0.214	1.040777
297	000109-07-9	N(CCNC1C)C1	Training	-1.35	-1.185933
298	000109-01-3	N(CCNC1)(C1)C	Training	-1.361	-1.252603
299	000140-31-8	N(CCNC1)(C1)CCN	Test	-1.229	-1.252603
300	000103-76-4	OCCN(CCNC1)C1	Test	-1.692	-1.606832
301	004067-16-7	N(CCNCCNCCNCCN)CCN	Test	0.044	2.231447
302	003030-47-5	N(CCN(C)C)(CCN(C)C)C	Training	0.197	0.234516
303	007209-38-3	N(CCN(C1)CCCN)(C1)CCCN	Training	-1.19	-0.917306
304	000280-57-9	C(CN(C1)C2)N(C1)C2	Training	-1.188	-1.252603
305	000100-97-0	N13CN2CN(CN(C1)C2)C3	Test	-2.551	-1.252603
306	000076-06-2	[O-][N+](=O)C(Cl)(Cl)Cl	Training	4.216	2.735648
307	000075-05-8	C(#N)C	Training	1.602	1.432603
308	000107-12-0	C(#N)CC	Training	-1.441	-1.02923
309	002243-27-8	N#CCCCCCCCC	Training	1.435	1.764543
310	002437-25-4	N#CCCCCCCCCCCC	Training	2.476	2.294339
311	000107-14-2	N#CCCl	Test	1.748	2.703204
312	000545-06-2	C(#N)C(Cl)(Cl)Cl	Test	3.302	2.703204
313	000109-75-1	N#CCC=C	Training	-0.433	0.203268
314	000109-77-3	C(#N)CC(#N)	Training	2.072	2.190648
315	000111-69-3	C(#N)CCCCC(#N)	Training	-1.251	-0.82577
316	000629-40-3	N#CCCCCCCC#N	Test	-0.6	-0.82577
317	000107-13-1	C(#N)C=C	Training	1.017	0.954546
318	001855-63-6	C1(C#N)=CCCCC1	Training	0.417	0.397103
319	000406-86-0	N#CC=CC(F)(F)F	Training	2.782	2.439239
320	000920-37-6	N#CC(=C)Cl	Training	3.018	2.703204
321	001118-61-2	N#CC=C(N)C	Training	0.684	0.203268
322	000764-42-1	N#CC=CC#N	Training	2.336	2.190648
323	000068-12-2	O=CN(C)C	Test	-2.161	-1.21953
324	000761-65-9	O=CN(CCCC)CCCC	Test	0.248	-0.548296
325	000683-72-7	O=C(N)C(Cl)Cl	Training	-0.273	-0.009963
326	000947-04-6	O=C(NCCCCCCCCCC1)C1	Training	0.555	0.76065
327	000093-83-4	O=C(N(CCO)CCO)CCCCCCCC=CCCCCCCCC	Training	2.392	2.187239
328	016669-59-3	O=C(NCOCC(C)C)C=C	Test	0.418	0.657096
329	000868-63-3	O=C(NC(O)C(O)NC(=O)C=C)C=C	Training	0.26	0.338914
330	000110-26-9	O=C(NCNC(=O)C=C)C=C	Training	-0.192	1.209771
331	000060-34-4	N(N)C	Test	2.084	-1.306331
332	000057-14-7	N(N)(C)C	Test	0.882	-1.306331
333	000497-18-7	O=C(NN)NN	Training	0.239	-0.878443
334	000079-19-6	NC(=S)NN	Training	0.637	0.577868
335	000106-91-2	O=C(OCC(O1)C1)C(=C)C	Training	1.706	1.234622
336	000286-62-4	O(C1CCC2)C1CCC2	Test	-0.2	-0.303658
337	000106-87-6	O(C1C(CC(O2)C2C3)C3)C1	Test	0.971	1.694976
338	002425-79-8	O(C1COCCCCOCC(O2)C2)C1	Training	1.192	1.085547
339	000075-91-2	O(O)C(C)(C)C	Test	-0.018	-1.306331
340	000107-29-9	N(O)=CC	Training	-0.109	-0.560143
341	000096-29-7	N(O)=C(CC)C	Training	-0.986	-0.560143
342	000100-64-1	N(O)=C(CCCC1)C1	Training	-0.264	-0.300808
343	000051-79-6	O=C(OCC)N	Training	-1.77	-1.21953
344	031502-57-5	C1CCC(CC1)NC(=O)OCCCl	Training	0.765	0.7149
345	003206-31-3	CCOC(=O)N(C(=O)OCC)C(=O)OCC	Training	1.244	1.252245
346	001643-20-5	O=N(CCCCCCCCCCCC)(C)C	Test	0.883	1.424552
347	025377-73-5	O=C1OC(=O)CC1C=CCCCCCCCCCC	Test	1.846	2.391071
348	000113-48-4	CCCCC(CC)CN3C(=O)C2C1CC(C=C1)C2C3(=O)	Training	2.139	2.099012
349	000075-08-1	SCC	Test	1.451	0.0
350	000110-66-7	SCCCCC	Training	1.904	1.789508
351	000111-88-6	SCCCCCCCC	Training	2.647	2.484377
352	025103-58-6	SC(CCC)(CCCC)CCCC	Training	2.726	1.950034
353	000060-24-2	OCCS	Training	0.43	1.241567
354	000068-11-1	O=C(O)CS	Test	0.362	0.102375
355	000111-47-7	S(CCC)CCC	Training	0.738	0.846797
356	000544-40-1	S(CCCC)CCCC	Training	1.611	1.528368
357	000107-47-1	S(C(C)(C)C)C(C)(C)C	Test	0.7	-0.322777
358	050512-35-1	CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1	Training	1.495	1.470479
359	005395-75-5	S(CC)CCSCC	Training	0.399	0.579298
360	056348-40-4	CSCCCCCCSC	Training	1.247	1.184675
361	022037-97-4	CCCSCCSCCC	Test	1.378	1.184675
362	054576-32-8	S(CC)CCCCSCC	Test	1.47	1.823313
363	N.A.	CCCSCCCCSCCC	Training	1.839	1.823313
364	000624-92-0	S(SC)C	Training	1.933	1.241567
365	000110-81-6	S(SCC)CC	Test	1.008	2.000017
366	004253-89-8	S(SC(C)C)C(C)C	Training	1.259	1.705091
367	000629-19-6	S(SCCC)CCC	Training	1.76	2.000017
368	000110-06-5	S(SC(C)(C)C)C(C)(C)C	Training	2.113	1.705091
369	000067-68-5	O=S(C)C	Training	-2.64	-1.611889
370	000116-06-3	O=C(ON=CC(SC)(C)C)NC	Training	2.344	1.209771
371	016752-77-5	CNC(=O)ON=C(C)SC	Test	1.886	0.997234
372	023135-22-0	CNC(=O)ON=C(SC)C(=O)N(C)C	Training	1.422	1.331281
373	000556-61-6	N(=C=S)C	Training	2.785	2.422108
374	014802-03-0	O=P(OCC(CC)CCCC)(CC(CC)CCCC)O	Test	0.495	1.507775
375	000126-73-8	O=P(OCCCC)(OCCCC)OCCCC	Training	1.349	2.012357
376	000078-51-3	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	1.416	1.474139
377	000126-72-7	O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr	Training	2.565	2.012357
378	000298-04-4	CCOP(=S)(OCC)SCCSCC	Training	1.839	1.745202
379	000298-06-6	O(P(OCC)(S)=S)CC	Training	0.451	0.575227
380	000121-75-5	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	Test	1.37	1.507775
381	013071-79-9	CCOP(=S)(OCC)SCSC(C)(C)C	Test	4.336	1.11194
