Id	CAS	SMILES	Status	Experimental value [log(1/(mmol/L))]	Predicted value [log(1/(mmol/L))]
656	001962-75-0	CCCCOC(=O)c1ccc(cc1)C(=O)OCCCC	Test	2.674	2.391071
657	000532-32-1	OC(=O)c1ccccc1	Training	-0.526	0.348926
658	000099-04-7	O=C(O)c(cccc1C)c1	Training	0.22	0.271507
659	000099-94-5	O=C(O)c(ccc(c1)C)c1	Test	0.328	0.271507
660	000069-72-7	O=C(O)c(c(O)ccc1)c1	Test	0.549	1.296002
661	000099-96-7	O=C(O)c(ccc(O)c1)c1	Test	0.172	1.296002
662	019715-19-6	O=C(O)c(c(O)c(cc1C(C)(C)C)C(C)(C)C)c1	Training	1.967	2.014163
663	000098-95-3	[O-][N+](=O)c(cccc1)c1	Test	-0.009	0.224898
664	000099-08-1	[O-][N+](=O)c(cccc1C)c1	Training	0.69	0.955118
665	000088-72-2	[O-][N+](=O)c(c(ccc1)C)c1	Test	0.59	0.224898
666	000099-99-0	[O-][N+](=O)c(ccc(c1)C)c1	Training	0.62	0.955118
667	000099-51-4	[O-][N+](=O)c(ccc(c1C)C)c1	Test	1.21	0.955118
668	000083-41-0	[O-][N+](=O)c(c(c(cc1)C)C)c1	Training	1.39	0.955118
669	000100-14-1	[O-][N+](=O)c(ccc(c1)CCl)c1	Training	2.449	2.302869
670	000350-46-9	[O-][N+](=O)c(ccc(F)c1)c1	Training	0.698	0.276421
671	000100-00-5	[O-][N+](=O)c(ccc(c1)Cl)c1	Test	1.42	0.861374
672	000088-73-3	[O-][N+](=O)c(c(ccc1)Cl)c1	Training	0.72	0.861374
673	000089-59-8	[O-][N+](=O)c(c(ccc1Cl)C)c1	Test	1.44	1.202032
674	000611-06-3	[O-][N+](=O)c(c(cc(c1)Cl)Cl)c1	Training	1.46	1.544867
675	000083-42-1	[O-][N+](=O)c(c(c(cc1)Cl)C)c1	Training	1.52	1.202032
676	000121-73-3	[O-][N+](=O)c(cccc1Cl)c1	Training	0.966	0.861374
677	000618-62-2	[O-][N+](=O)c(cc(cc1Cl)Cl)c1	Test	1.58	1.544867
678	000099-54-7	[O-][N+](=O)c(ccc(c1Cl)Cl)c1	Training	1.611	1.544867
679	000089-61-2	[O-][N+](=O)c(c(ccc1Cl)Cl)c1	Test	1.59	1.544867
680	003209-22-1	[O-][N+](=O)c(c(c(cc1)Cl)Cl)c1	Test	1.66	1.544867
681	000082-68-8	[O-][N+](=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl	Test	2.965	2.852687
682	000350-30-1	Fc1ccc(cc1Cl)[N+](=O)[O-]	Test	1.943	1.678836
683	000555-03-3	[O-][N+](=O)c(cccc1OC)c1	Training	0.414	0.421929
684	000091-23-6	[O-][N+](=O)c(c(OC)ccc1)c1	Training	0.513	0.693515
685	000552-89-6	O=Cc(c([N+](=O)[O-])ccc1)c1	Test	0.99	0.726266
686	000555-16-8	O=Cc(ccc([N+](=O)[O-])c1)c1	Test	1.178	0.996239
687	006361-21-3	O=Cc(c(ccc1[N+](=O)[O-])Cl)c1	Training	1.685	1.678836
688	005465-65-6	Clc(ccc1C(=O)C)c(c1)[N+](=O)[O-]	Test	1.56	1.678836
689	000619-50-1	O=C(OC)c(ccc([N+](=O)[O-])c1)c1	Training	0.886	0.242081
690	005292-45-5	O=C(OC)c(ccc(c1[N+](=O)[O-])C(=O)OC)c1	Training	1.56	1.533156
691	042087-80-9	COC(=O)c1ccc(Cl)cc1[N+](=O)[O-]	Training	0.896	0.76065
692	000619-80-7	O=C(N)c(ccc([N+](=O)[O-])c1)c1	Test	0.099	1.369461
693	000100-25-4	[O-][N+](=O)c(ccc([N+](=O)[O-])c1)c1	Training	2.374	1.215416
694	000099-65-0	[O-][N+](=O)c(cccc1[N+](=O)[O-])c1	Test	1.146	1.215416
695	000606-20-2	[O-][N+](=O)c(c(c([N+](=O)[O-])cc1)C)c1	Training	0.729	1.215416
696	000121-14-2	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])C)c1	Training	0.873	1.215416
697	006099-79-2	[O-][N+](=O)c1cc([N+](=O)[O-])c(OC)c(C(C)CC)c1	Test	2.259	2.447752
698	000097-00-7	[O-][N+](=O)c(ccc(c1[N+](=O)[O-])Cl)c1	Training	3.102	2.890249
699	003698-83-7	[O-][N+](=O)c(c(cc(c1[N+](=O)[O-])Cl)Cl)c1	Test	3.69	3.031047
700	006284-83-9	[O-][N+](=O)c(c(cc(c1[N+](=O)[O-])Cl)Cl)c1Cl	Training	3.089	3.031047
701	000097-02-9	[O-][N+](=O)c(ccc(N)c1[N+](=O)[O-])c1	Training	1.072	1.133415
702	000529-19-1	N#Cc(c(ccc1)C)c1	Test	0.419	-0.684116
703	006575-09-3	Clc(ccc1)c(c1C)C#N	Training	1.002	0.851412
704	000873-32-5	N#Cc(c(ccc1)Cl)c1	Test	0.57	0.851412
705	000368-77-4	FC(F)(F)c1cccc(C#N)c1	Training	0.553	0.587974
706	000447-60-9	FC(F)(F)c1ccccc1C#N	Test	0.609	0.587974
707	001891-95-8	Clc(cc(c1)C#N)c(O)c1Cl	Training	0.89	0.851412
708	001689-84-5	Oc1c(Br)cc(C#N)cc1Br	Test	1.382	0.851412
709	001689-83-4	Oc1c(I)cc(C#N)cc1I	Test	1.739	0.851412
710	005922-60-1	N#Cc(c(N)ccc1Cl)c1	Training	0.729	0.851412
711	001129-35-7	COC(=O)c1ccc(C#N)cc1	Test	0.537	1.09978
712	000619-24-9	N#Cc(cccc1[N+](=O)[O-])c1	Test	0.547	0.587974
713	000091-15-6	C(#N)c(c(C(#N))ccc1)c1	Training	0.746	1.352196
714	001953-99-7	Clc(c(Cl)c(Cl)c1C#N)c(Cl)c1C#N	Training	3.346	3.179104
715	000055-21-0	O=C(N)c(cccc1)c1	Test	-0.739	0.506993
716	056108-12-4	NC(=O)c1ccc(C(C)(C)C)cc1	Test	0.743	0.594367
717	000134-62-3	O=C(N(CC)CC)c(cccc1C)c1	Training	0.24	0.319217
718	002008-58-4	NC(=O)c1c(Cl)cccc1Cl	Training	-0.241	0.410801
719	002447-79-2	NC(=O)c1ccc(Cl)cc1Cl	Test	0.299	0.410801
720	022726-00-7	NC(=O)c1cc(Br)ccc1	Training	0.332	0.414483
721	002439-77-2	COc1ccccc1C(=O)N	Training	0.1	0.173905
722	000065-45-2	O=C(N)c(c(O)ccc1)c1	Training	0.132	0.348926
723	000088-68-6	O=C(N)c(c(N)ccc1)c1	Test	-0.462	0.348926
724	071862-02-7	Cc1c(NC=O)cccc1Cl	Training	0.561	0.649299
725	000483-63-6	CC=CC(=O)N(CC)c1c(C)cccc1	Test	0.433	0.319217
726	000621-42-1	O=C(Nc(cccc1O)c1)C	Test	-0.874	0.776979
727	000103-90-2	O=C(Nc(ccc(O)c1)c1)C	Test	-0.731	0.513882
728	000614-80-2	O=C(Nc(c(O)ccc1)c1)C	Test	0.835	0.173905
729	055792-61-5	CCCCCCCCOc1ccccc1NC(C)=O	Training	2.769	2.243744
730	051218-49-6	CCc1cccc(CC)c1N(C(=O)CCl)CCOCCC	Training	2.114	2.047861
731	023184-66-9	CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC	Test	3.047	2.047861
732	015972-60-8	CCc1cccc(CC)c1N(COC)C(=O)CCl	Training	1.731	1.700972
733	000709-98-8	CCC(=O)Nc1ccc(Cl)c(Cl)c1	Training	1.402	1.392902
734	002626-83-7	CNC(=O)Oc1ccc(C(C)(C)C)cc1	Training	1.319	1.616471
735	003766-81-2	O=C(Oc(c(ccc1)C(CC)C)c1)NC	Training	1.325	1.616471
736	000114-26-1	CNC(=O)Oc1ccccc1OC(C)C	Test	1.376	0.502476
737	002032-59-9	CNC(=O)Oc1ccc(N(C)C)c(C)c1	Training	2.029	1.616471
738	001563-66-2	O=C(Oc(c(OC(C1)(C)C)c1cc2)c2)NC	Test	2.419	-0.149485
739	000330-54-1	O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1	Training	1.218	1.315185
740	000100-63-0	N(N)c(cccc1)c1	Training	3.83	3.632135
741	005329-12-4	N(N)c(c(cc(c1)Cl)Cl)c1Cl	Training	2.325	2.001615
742	000108-98-5	Sc(cccc1)c1	Training	4.088	3.040691
743	000098-59-9	O=S(=O)(c(ccc(c1)C)c1)Cl	Training	0.394	0.762833
744	027176-87-0	O=S(=O)(c1ccc(cc1)CCCCCCCCCCCC)O	Training	1.861	2.243744
745	009014-90-8	CCCCCCCCCc1ccc(cc1)OCCOCCOCCOCCOCCOCCOS(=O)(=O)O	Training	1.354	1.385797
